COIN;	timeOpen;	timeClose;	timeHigh;	timeLow;	OPEN;			HIGH;			LOW;			CLOSE;			VOLUME
ETH;	3/31/2024;	3/31/2024;	3/31/2024;	4/1/2024;	3507.951548;	3655.218996;	3507.242781;	3647.85638;		10499881424
ETH;	4/1/2024;	4/1/2024;	4/1/2024;	4/2/2024;	3511.827622;	3566.084552;	3489.902001;	3507.944363;	9389066783
ETH;	4/2/2024;	4/2/2024;	4/2/2024;	4/3/2024;	3561.011815;	3583.701439;	3475.725472;	3511.806166;	12712701619
ETH;	4/3/2024;	4/3/2024;	4/3/2024;	4/4/2024;	3500.216139;	3609.70527;		3465.332354;	3561.294058;	16419674157
ETH;	4/4/2024;	4/4/2024;	4/4/2024;	4/5/2024;	3587.313618;	3664.382987;	3460.393647;	3500.115224;	18753082145
ETH;	4/5/2024;	4/5/2024;	4/5/2024;	4/6/2024;	3591.085207;	3678.789811;	3545.428736;	3587.505002;	18505553577
ETH;	4/6/2024;	4/6/2024;	4/6/2024;	4/7/2024;	3454.885664;	3657.118918;	3421.790497;	3590.883773;	18603921705
ETH;	4/7/2024;	4/7/2024;	4/7/2024;	4/8/2024;	3336.666102;	3470.34448;		3301.277238;	3454.636468;	12156660941
ETH;	4/8/2024;	4/8/2024;	4/8/2024;	4/9/2024;	3335.592459;	3433.758157;	3273.115386;	3336.594078;	13242137554
ETH;	4/9/2024;	4/9/2024;	4/9/2024;	4/10/2024;	3492.897954;	3541.898287;	3254.96928;		3333.687991;	20574952329
ETH;	4/10/2024;	4/10/2024;	4/10/2024;	4/11/2024;	3514.01748;		3586.904915;	3412.222704;	3492.991332;	22213647922
ETH;	4/11/2024;	4/11/2024;	4/11/2024;	4/12/2024;	3158.396844;	3534.826446;	3059.6549;		3513.393032;	36605316331
ETH;	4/12/2024;	4/12/2024;	4/12/2024;	4/13/2024;	3518.347631;	3546.582252;	3149.286769;	3157.618179;	34166976701
ETH;	4/13/2024;	4/13/2024;	4/13/2024;	4/14/2024;	3642.298884;	3642.496986;	3456.091197;	3517.98513;		21162220224
ETH;	4/14/2024;	4/14/2024;	4/14/2024;	4/15/2024;	3523.02984;		3676.263527;	3414.172381;	3642.413006;	19938757095
